PM10,NO,NO2,NH3,SO2,CO,Ozone,PM2.5
115.07,7.03,6.93,6.61,17.62,0.34,11.97,0
108,7.08,7.13,6.66,22.58,0.33,43.5,0
106.29,6.96,7.25,6.64,28.17,0.35,9.66,0
109.49,7.27,7.19,6.63,28.09,0.37,4.83,0
117.77,7.16,7.06,6.62,41.85,0.46,5.64,0
120.37,7.01,7.34,6.58,33.49,0.44,4.99,0
117.87,7.03,7.09,6.62,40.77,0.41,4.45,0
150.27,7.06,7.64,6.56,31.59,0.41,3.56,0
118.2,6.95,7.31,6.61,35.05,0.35,4.5,0
114.34,6.94,7.37,6.6,37.51,0.4,4.22,0
99.33,6.88,7.51,6.6,43.92,0.38,19.44,0
121.06,7.14,7.26,6.61,52.13,0.44,23.15,0
161.25,7.46,10.56,7.1,35.87,0.46,5.68,0
191.03,7.32,8.78,6.63,67.22,0.39,5.73,0
87.31,7.08,7.5,6.65,58.33,0.46,30.58,0
86.3,7.27,7.71,6.55,69.1,0.65,100.68,0
114.91,7.04,7.27,6.6,54.9,0.44,23.84,0
128.43,6.97,6.96,6.62,52.6,0.43,20.81,0
146.1,7.01,7.24,6.57,29.44,0.35,20.87,0
152.3,6.92,7.08,6.59,33.88,0.39,22.36,0
141.32,6.77,7.28,6.54,45.14,0.42,16.31,0
95.3,7,7.34,6.59,37.33,0.36,14.58,0
102.36,7.1,7.36,6.62,28.57,0.34,68.13,0
102.3,7.28,7.29,6.57,52.67,0.43,20.53,0
147.65,7.05,7.17,6.59,50.53,0.46,5.92,0
144.96,8.65,7.62,6.67,48.52,0.47,8.24,0
120.06,6.98,6.94,6.67,41.64,0.4,46.86,0
98.46,6.97,7.03,6.6,18.77,0.37,30.78,0
69.46,7.14,7.12,6.58,42.22,0.29,13.59,0
107.53,7.1,6.92,6.57,29.43,0,14.53,0
87.22,7.1,7.12,6.62,30.92,0,19.98,0
82.4,7.13,7.29,6.61,36.86,0,13.76,0
72.32,7.1,7.08,6.65,33.86,0,12.87,0
94.43,7.35,7.75,6.39,0,0,18.94,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
171.52,6.59,7.88,6.61,0,0,22.71,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
219.22,6.71,7.69,6.52,0,0,35.91,0
309.67,7.15,7.43,6.55,0,0,21.99,0
343.88,7.14,7.69,6.52,0,0,22.26,0
308.94,7,7.44,6.57,0,0,24.61,0
299.53,6.46,7.85,6.44,0,0,14.87,0
380.2,7.21,7.98,6.4,0,0,43.97,0
356.08,7.25,7.68,6.55,0,0,18.03,0
331.29,7.27,7.75,6.53,0,0,16.31,0
101.76,6.98,7.56,6.58,0,0,9.27,0
137.58,7.42,7.62,6.59,0,0,9.4,0
134.39,7.38,7.59,6.53,0,0,15.56,0
118.6,7.09,6.97,6.56,0,0,20.05,0
0,0,0,0,0,0,0,0
379.47,6.92,7.68,6.61,0,0,55.29,0
289.62,6.81,7.26,6.56,0,0,35.53,0
292.04,7.16,7.19,6.6,0,0,26.51,0
285.56,7.19,6.99,6.6,0,0,30.5,0
219.38,6.9,6.92,6.58,0,0,30.09,0
293.18,7.02,7.12,6.59,0,0,27.02,0
393.4,6.97,7.05,6.59,0,0,27.66,0
372.29,6.93,6.92,6.64,0,0,26.04,0
269.51,6.98,6.95,6.61,0,0,31.38,0
260.46,6.88,7.29,6.68,0,0,29.55,0
303.7,6.86,7.34,6.59,0,0,31.56,0
260.19,7.31,7.29,6.65,0,0,22.66,0
255.65,7.07,7.18,6.58,0,0,25.04,0
273.22,7.15,7.2,6.66,0,0,23.5,0
194.99,6.88,6.98,6.65,0,0,19.3,0
233.21,7.48,7.44,6.61,0,0,26.83,0
272.77,7.45,7.25,6.65,0,0,16.69,0
299.78,7.75,7.23,6.64,0,0,31.86,0
301.74,7.88,7,6.7,0,0,10.63,0
343.66,8.05,7.25,6.73,0,0,13.3,0
307.4,7.46,6.77,6.71,0,0,24.79,0
320.98,7.67,7.48,6.66,0,0,18.97,0
416.4,7.25,7.02,6.72,0,0,70.84,0
459.7,6.95,7.51,6.65,0,0,87.04,0
323.57,9.88,7.48,6.79,0,0,73.64,0
363.91,7.42,7.07,6.71,0,0,26.63,0
337.12,7.22,7.16,6.67,0,0,27.42,0
397.85,7.18,7.22,6.63,0,0,30.17,0
389.39,6.68,6.57,6.63,0,0,42.95,0
494.82,7.48,7.25,6.65,0,0,15.66,0
435.16,6.78,6.69,6.59,0,0,19.28,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
736.65,7.72,7.78,6.78,0,0,7.69,0
458.74,7.16,7.56,6.59,0,0,16.57,0
329.78,7.09,7.12,6.62,0,0,19.99,0
327.96,6.93,7.01,6.66,0,0,21.38,0
324.85,6.88,7.14,6.58,78.94,0,24.86,0
405.77,6.99,7.48,6.61,73.18,0,18.92,0
455.85,7.46,7.57,6.68,74.14,0,12.41,0
451.68,8.02,7.96,6.7,81.49,0,14.93,0
374.41,7.68,7.83,6.58,78.86,0,32.43,0
372.42,7.38,7.8,6.62,79.64,0,9.19,0
351.87,7.12,7.63,6.69,78.24,0,30.11,0
401.4,7.39,7.44,6.64,57.42,0,22.78,0
378,7.29,7.74,6.56,56.21,0,15.96,0
343.69,7.04,7.16,6.68,61.97,0,22.77,0
410.45,7.15,6.87,6.66,71.8,0,98.28,0
